,Market_Size,Trust_in_Strangers,Signal_Reading,Trust_Rate,Cooperating_Agents,Trust_in_Neighbors,Trust_in_Newcomers
0,0.678,0.3934010152284264,0.402542119306591,0.411,0.663,0.4472049689440994,0.39
1,0.71,0.3977832512315271,0.40124679145715797,0.396,0.721,0.4,0.4166666666666667
2,0.722,0.4,0.3797920544205284,0.402,0.728,0.39928057553956836,0.4
3,0.722,0.3766546329723225,0.36823695914195925,0.382,0.662,0.39568345323741005,0.40594059405940597
4,0.718,0.3508557457212714,0.36885814590751853,0.354,0.691,0.375886524822695,0.39080459770114945
5,0.675,0.3877805486284289,0.3757952568620509,0.385,0.66,0.41846153846153844,0.5084745762711864
6,0.707,0.3645200486026732,0.37652048424827433,0.352,0.661,0.3242320819112628,0.3584905660377358
7,0.663,0.4036222509702458,0.41704629959391193,0.414,0.626,0.42136498516320475,0.3883495145631068
8,0.696,0.3968058968058968,0.396033019775134,0.396,0.649,0.40460526315789475,0.4107142857142857
9,0.675,0.41285537700865266,0.38781933134763513,0.405,0.624,0.37846153846153846,0.392
10,0.671,0.3778054862842893,0.3870646624579385,0.392,0.627,0.44072948328267475,0.424
11,0.656,0.33033419023136246,0.36229073516642224,0.339,0.664,0.3546511627906977,0.3508771929824561
12,0.686,0.39195979899497485,0.38162891992208353,0.4,0.619,0.45222929936305734,0.5102040816326531
13,0.658,0.3567708333333333,0.36361736217336316,0.365,0.613,0.38011695906432746,0.34951456310679613
14,0.677,0.3520408163265306,0.37209093855433867,0.348,0.655,0.35294117647058826,0.3939393939393939
15,0.692,0.37696969696969695,0.39329070442918695,0.382,0.652,0.39285714285714285,0.3983050847457627
16,0.677,0.34962406015037595,0.38551930786572297,0.355,0.656,0.3591331269349845,0.336283185840708
17,0.67,0.3384223918575064,0.3722316536652763,0.338,0.649,0.3575757575757576,0.4174757281553398
18,0.704,0.362962962962963,0.3795829713294655,0.353,0.697,0.3344594594594595,0.37755102040816324
19,0.725,0.35844471445929527,0.3765981149487546,0.364,0.677,0.37454545454545457,0.38823529411764707
20,0.678,0.3907035175879397,0.40667735176768544,0.393,0.66,0.40683229813664595,0.4230769230769231
21,0.693,0.3826086956521739,0.4026296402466728,0.391,0.624,0.3973941368078176,0.33663366336633666
22,0.694,0.4027093596059113,0.3956935838870019,0.403,0.689,0.4084967320261438,0.411214953271028
23,0.725,0.36101083032490977,0.37767684918981803,0.366,0.666,0.3781818181818182,0.3711340206185567
24,0.714,0.3491484184914842,0.3692523658668461,0.354,0.615,0.36013986013986016,0.34065934065934067
25,0.702,0.3655514250309789,0.3857008776341543,0.375,0.616,0.40604026845637586,0.40860215053763443
26,0.709,0.3796068796068796,0.38113806269471795,0.388,0.628,0.42955326460481097,0.425531914893617
27,0.673,0.3683559950556242,0.3978952532738651,0.372,0.647,0.40978593272171254,0.44
28,0.662,0.3866837387964149,0.38859987678633306,0.39,0.691,0.41124260355029585,0.4090909090909091
29,0.668,0.43875,0.3923743101405852,0.435,0.73,0.41566265060240964,0.4180327868852459
30,0.712,0.3756038647342995,0.39172418459550795,0.389,0.714,0.4305555555555556,0.39814814814814814
31,0.721,0.3927738927738928,0.3911634016823633,0.39,0.654,0.3942652329749104,0.3983739837398374
32,0.718,0.38909541511771994,0.3908340681599858,0.398,0.6,0.40070921985815605,0.32432432432432434
33,0.732,0.3824561403508772,0.3867821484244986,0.399,0.626,0.45149253731343286,0.40384615384615385
34,0.722,0.3580097087378641,0.37145523498602634,0.37,0.67,0.4352517985611511,0.4666666666666667
35,0.694,0.34950248756218905,0.38235478038203863,0.362,0.655,0.39869281045751637,0.3711340206185567
36,0.634,0.3776041666666667,0.40066953736658345,0.4,0.656,0.45901639344262296,0.44715447154471544
37,0.614,0.3790849673202614,0.3995475286570172,0.39,0.642,0.4170984455958549,0.4
38,0.64,0.40025740025740025,0.42166349249018104,0.411,0.636,0.4527777777777778,0.464
39,0.625,0.4105960264900662,0.4041583093995579,0.415,0.59,0.408,0.371900826446281
40,0.709,0.39006211180124223,0.40788928612320535,0.403,0.626,0.41924398625429554,0.3522727272727273
41,0.696,0.4114002478314746,0.39055965540962073,0.422,0.607,0.4309210526315789,0.36893203883495146
42,0.679,0.36875,0.3842489023342498,0.377,0.632,0.4174454828660436,0.4375
43,0.672,0.38357843137254904,0.39125851677840967,0.389,0.604,0.40853658536585363,0.41044776119402987
44,0.679,0.36716791979949875,0.3752118153983976,0.384,0.643,0.4423676012461059,0.4144144144144144
45,0.671,0.3583959899749373,0.3899164515093238,0.367,0.639,0.39209726443769,0.39655172413793105
46,0.684,0.35964912280701755,0.3962271563936165,0.364,0.618,0.3670886075949367,0.38
47,0.705,0.38705738705738707,0.40453387773481164,0.39,0.651,0.3864406779661017,0.37623762376237624
48,0.69,0.402676399026764,0.4082238334577154,0.391,0.683,0.38387096774193546,0.4576271186440678
49,0.725,0.4154761904761905,0.410897870870047,0.421,0.732,0.43272727272727274,0.37623762376237624
50,0.707,0.42246642246642246,0.4171857829677182,0.427,0.674,0.4232081911262799,0.39603960396039606
51,0.718,0.41978287092882993,0.404767790954724,0.417,0.626,0.4219858156028369,0.46938775510204084
52,0.705,0.364190012180268,0.3813636389253988,0.388,0.589,0.4610169491525424,0.3786407766990291
53,0.728,0.3523002421307506,0.3662575316231354,0.358,0.666,0.35661764705882354,0.32941176470588235
54,0.698,0.36228287841191065,0.3926208374587364,0.369,0.678,0.39403973509933776,0.3877551020408163
55,0.682,0.3619167717528373,0.38496739986635603,0.373,0.69,0.4088050314465409,0.4
56,0.654,0.39348370927318294,0.40659098452292275,0.404,0.644,0.4190751445086705,0.38235294117647056
57,0.695,0.4305210918114144,0.4224142465792668,0.444,0.635,0.46557377049180326,0.39603960396039606
58,0.714,0.3819277108433735,0.3828940590763798,0.4,0.611,0.44755244755244755,0.4074074074074074
59,0.709,0.36375,0.37066030753781704,0.372,0.645,0.422680412371134,0.4444444444444444
60,0.684,0.3561470215462611,0.35462785200449337,0.362,0.664,0.4240506329113924,0.5222222222222223
61,0.672,0.42045454545454547,0.3972315223651662,0.419,0.683,0.4481707317073171,0.5229357798165137
62,0.645,0.39040207522697795,0.39454434493015844,0.399,0.645,0.447887323943662,0.4782608695652174
63,0.63,0.37645536869340235,0.39816328633642173,0.386,0.631,0.4027027027027027,0.3858267716535433
64,0.666,0.39367088607594936,0.38651584253720966,0.4,0.678,0.4281437125748503,0.45217391304347826
65,0.676,0.345,0.37152584652296583,0.36,0.665,0.3950617283950617,0.35135135135135137
66,0.68,0.38357843137254904,0.3921629483908137,0.373,0.648,0.3625,0.41732283464566927
67,0.727,0.3742550655542312,0.3736854876439626,0.387,0.678,0.4542124542124542,0.47474747474747475
68,0.732,0.3729411764705882,0.36119523788262853,0.374,0.727,0.39552238805970147,0.40384615384615385
