,Market_Size,Trust_in_Strangers,Signal_Reading,Trust_Rate,Cooperating_Agents,Trust_in_Neighbors,Trust_in_Newcomers
0,0.205,0.18498659517426275,0.3185426105772317,0.6,0.68,0.710691823899371,0.1949685534591195
1,0.179,0.15730337078651685,0.32191653493403205,0.61,0.647,0.7113276492082826,0.17261904761904762
2,0.184,0.1781609195402299,0.3196473686513041,0.613,0.636,0.7218137254901961,0.24183006535947713
3,0.208,0.16193181818181818,0.31410544403502716,0.605,0.63,0.7196969696969697,0.14388489208633093
4,0.208,0.1846590909090909,0.31180998387720865,0.624,0.672,0.7462121212121212,0.2222222222222222
5,0.207,0.184,0.31180332858365667,0.6,0.605,0.7112232030264817,0.21019108280254778
6,0.189,0.15168539325842698,0.3107066767077926,0.615,0.638,0.7213316892725031,0.1437908496732026
7,0.187,0.17478510028653296,0.3102159795972737,0.614,0.646,0.7146371463714637,0.17532467532467533
8,0.179,0.17455621301775148,0.3141591812741063,0.619,0.672,0.7064555420219245,0.13245033112582782
9,0.194,0.17333333333333334,0.3130886883665812,0.601,0.624,0.7022332506203474,0.15789473684210525
10,0.22,0.125,0.3114922257839377,0.585,0.643,0.7115384615384616,0.11347517730496454
11,0.211,0.21164021164021163,0.3099053358808188,0.614,0.669,0.7211660329531052,0.20666666666666667
12,0.194,0.15364583333333334,0.3052741864061798,0.576,0.649,0.6724565756823822,0.14124293785310735
13,0.218,0.13544668587896252,0.3042353120342382,0.611,0.649,0.7416879795396419,0.12195121951219512
14,0.204,0.1774193548387097,0.301952403392069,0.612,0.653,0.7248743718592965,0.19230769230769232
15,0.222,0.16666666666666666,0.3013020191289064,0.614,0.66,0.7480719794344473,0.18633540372670807
16,0.214,0.17079889807162535,0.3016258094168502,0.608,0.65,0.7188295165394402,0.12857142857142856
17,0.189,0.14,0.30218473770775395,0.607,0.668,0.7127003699136868,0.125
18,0.208,0.18230563002680966,0.3044899001874422,0.604,0.67,0.7234848484848485,0.22435897435897437
19,0.213,0.15775401069518716,0.3057851261279638,0.608,0.676,0.7255400254129606,0.14383561643835616
20,0.206,0.1322314049586777,0.3043745091702435,0.611,0.66,0.7380352644836272,0.1476510067114094
21,0.204,0.18611111111111112,0.30388752322199514,0.616,0.648,0.7273869346733668,0.19718309859154928
22,0.217,0.16164383561643836,0.30030895819261516,0.616,0.663,0.7343550446998723,0.1323529411764706
